farmer_id,crop_type,farm_size_acres,annual_yield_tonnes,income_per_acre_kes,years_farming_experience,market_access_score
444,Dairy,73.82,210.7,89706.0,16.6,84.37302861472172
445,Dairy,4.62,9.2,35402.0,9.7,26.896448287176064
446,Dairy,4.87,11.1,37264.0,8.7,100.0
447,Dairy,33.38,27.7,32515.0,19.0,
448,Horticulture,4.65,11.2,61697.0,6.1,100.0
449,Maize,0.48,4.3,31860.0,17.6,96.89892837682933
450,Maize,1.13,0.9,24120.0,21.4,80.12668731487544
451,Maize,7.22,9.4,153689.0,3.8,35.89724324960532
452,Maize,2.2,3.0,17910.0,12.9,24.374944266006693
453,Dairy,47.11,228.9,71861.0,17.4,14.991545357798415
454,Horticulture,50.16,177.6,69638.0,26.2,
455,Coffee,4.53,8.9,149485.0,7.3,86.43862506716422
456,Maize,18.47,34.4,26380.0,8.8,69.63862915050336
457,Maize,18.41,22.0,13773.0,11.1,
458,Coffee,27.53,34.6,21851.0,11.2,80.59771773123643
459,Maize,1.29,2.5,8352.0,21.1,44.4205406833635
460,Horticulture,6.92,17.9,40169.0,2.9,65.3281448548855
461,Tea,4.16,12.8,42422.0,6.5,38.41501729168736
462,Coffee,2.63,16.5,24884.0,8.1,41.56606399525587
463,Maize,5.73,4.8,39366.0,8.7,44.43919676043172
464,Horticulture,3.65,14.3,24069.0,7.0,68.8383298503904
465,Coffee,2.42,13.4,56454.0,6.5,29.71928901058194
466,Coffee,1.14,5.0,11639.0,18.6,70.3733986738583
467,Horticulture,1.44,1.8,17919.0,19.0,57.88486006895366
468,Tea,3.67,9.2,80188.0,17.3,24.102833349552355
469,Coffee,29.7,147.3,63539.0,16.5,57.12988560760575
470,Horticulture,5.22,10.4,129859.0,9.6,57.55077206894192
471,Tea,6.36,5.2,119088.0,9.7,66.19887440880196
472,Maize,0.88,3.0,31248.0,10.3,85.53837848498543
473,Horticulture,19.57,55.6,23049.0,10.9,31.860091638261295
474,Dairy,13.35,28.7,33260.0,5.3,38.19778323401492
475,Coffee,3.78,9.5,93183.0,3.8,64.23613290027761
476,Horticulture,0.99,13.3,89423.0,3.9,
477,Maize,0.84,3.7,19013.0,8.8,100.0
478,Maize,66.81,140.9,81738.0,22.9,36.28647985436542
479,Maize,0.73,0.1,19738.0,17.1,51.96962039206171
480,Horticulture,5.08,10.2,46515.0,3.4,78.78440052376465
481,Maize,5.24,9.8,151406.0,15.5,57.96826185555877
482,Horticulture,0.22,2.1,16938.0,13.3,55.130488145266064
483,Maize,1.39,3.6,9725.0,25.7,65.24523342695139
484,Maize,43.17,222.4,92093.0,14.4,40.76656869279987
485,Maize,1.9,12.9,41534.0,8.1,24.40681591448564
486,Dairy,1.25,3.7,18077.0,6.8,49.84984537962948
487,Maize,23.56,34.0,11191.0,7.7,22.10958547805639
488,Coffee,5.79,18.6,46032.0,6.0,48.815114470033805
489,Maize,1.52,2.9,26104.0,5.9,33.69380850295671
490,Maize,5.4,17.1,53230.0,8.6,61.92326750604687
491,Tea,4.23,11.0,175222.0,13.1,0.0
492,Maize,3.09,6.6,39497.0,3.6,54.53812673429197
493,Coffee,4.43,12.5,49714.0,4.3,60.825578475644406
494,Maize,4.52,2.8,33506.0,4.9,59.523950211933176
495,Dairy,1.35,3.2,24109.0,5.4,83.96530216261228
496,Tea,5.56,14.6,20263.0,7.4,77.25237549872283
497,Tea,7.07,9.9,100364.0,7.5,22.038751750709807
498,Maize,27.08,31.2,42398.0,14.9,87.38728610068091
499,Maize,24.39,139.2,92130.0,8.9,58.43398777977244
500,Maize,3.85,8.0,55267.0,5.0,80.94453359437722
501,Maize,52.59,186.1,98118.0,26.8,33.36922911794467
502,Maize,1.87,3.7,13752.0,14.7,81.27263898203856
503,Horticulture,2.64,5.2,138123.0,11.8,40.41867802849967
504,Horticulture,3.92,0.1,75802.0,11.2,64.1228224137995
505,Coffee,31.96,41.6,28893.0,8.4,70.23491597958866
506,Maize,42.34,267.3,85278.0,20.0,45.00703736629605
507,Horticulture,0.63,3.5,17526.0,0.5,62.406727323620686
508,Maize,15.26,25.9,26450.0,1.8,55.36852369711231
509,Horticulture,13.34,17.0,16315.0,8.2,81.73467229374556
510,Coffee,1.15,1.6,13098.0,23.1,14.775211472419329
511,Coffee,2.74,14.5,35876.0,3.6,88.90517184095981
512,Dairy,6.85,9.5,162919.0,8.8,8.722289413545802
513,Dairy,3.21,10.8,45027.0,6.7,14.591767267121277
514,Coffee,21.21,26.6,37143.0,18.6,30.51710102410143
515,Horticulture,29.59,178.3,97059.0,30.6,71.74648359700095
516,Maize,5.77,6.0,125884.0,6.4,90.63378072012827
517,Coffee,1.31,2.6,10437.0,16.0,63.883428403817405
518,Horticulture,30.59,42.9,19016.0,15.9,29.683304874851643
519,Coffee,7.03,15.7,57081.0,3.6,32.46166515583409
520,Maize,25.28,30.7,5443.0,13.1,56.55980509383462
521,Maize,10.94,19.4,30854.0,10.4,50.84965394006038
522,Horticulture,4.32,13.1,61945.0,9.8,65.08864520334774
523,Maize,1.91,3.3,15221.0,8.9,75.536817694681
524,Maize,1.43,3.6,15724.0,8.9,31.37703053173441
525,Tea,1.47,4.1,17878.0,16.2,49.67106870632605
526,Maize,1.89,2.7,17395.0,14.5,42.95724368162729
527,Coffee,4.7,8.7,27826.0,6.2,60.26072561516544
528,Maize,3.87,11.4,58202.0,3.2,71.81972411751899
529,Coffee,36.79,176.5,98698.0,7.8,38.70760704906847
530,Dairy,4.19,10.6,43169.0,3.3,82.71773224497285
531,Horticulture,1.35,3.3,14838.0,20.1,74.11088964584913
532,Maize,6.98,6.3,121701.0,14.3,16.111964965835156
533,Horticulture,34.28,190.7,96463.0,12.4,50.55677392300373
534,Horticulture,3.0,21.6,51636.0,6.0,42.757700455696146
535,Horticulture,1.14,7.7,13015.0,9.6,29.791857278536984
536,Coffee,14.46,28.9,24658.0,8.6,43.662096235048665
537,Dairy,28.54,27.6,18105.0,9.4,26.978713712225613
538,Dairy,1.1,22.6,88400.0,4.3,69.98722545952653
539,Tea,21.46,31.4,19053.0,8.6,69.82997524648307
540,Maize,0.49,4.7,12324.0,18.6,26.839272285962085
541,Maize,4.82,12.1,24605.0,5.1,65.6371948102634
542,Coffee,14.61,47.3,20805.0,6.4,27.560584276150774
543,Coffee,0.64,2.7,23667.0,9.7,67.24006307400857
544,Coffee,4.73,7.5,20899.0,7.9,22.08515304524826
545,Maize,4.31,12.6,57729.0,6.2,56.02662070508774
546,Tea,27.79,36.5,25536.0,4.9,
547,Maize,0.58,2.8,8187.0,20.3,41.91855600735857
548,Dairy,18.18,22.6,18941.0,19.6,59.97568502170075
549,Coffee,35.15,27.3,22321.0,10.7,
550,Horticulture,2.7,15.2,54043.0,8.3,59.84996240346907
551,Horticulture,34.05,11.7,27320.0,18.2,53.772424581037725
552,Coffee,6.47,9.6,47771.0,12.3,57.63164436280564
553,Tea,3.36,8.4,68074.0,3.4,9.360969431783417
554,Maize,1.05,14.4,52066.0,9.5,36.497134628242044
555,Maize,0.53,13.4,30539.0,3.0,30.18089635345195
556,Coffee,5.02,5.6,149495.0,13.0,39.55603001071052
557,Dairy,4.39,11.5,37892.0,9.1,71.98604512624098
558,Maize,0.2,0.7,18641.0,20.8,45.81415940550806
559,Maize,3.61,19.9,66702.0,5.2,58.604476533319925
560,Maize,3.83,13.8,129739.0,8.9,39.30766468890797
561,Tea,52.46,211.5,87027.0,13.8,100.0
562,Dairy,27.98,206.6,96361.0,15.9,27.93291290634685
563,Tea,4.18,7.2,101936.0,12.7,65.50501294642639
564,Maize,4.41,6.6,174430.0,6.4,25.30978577475847
565,Coffee,28.14,33.7,32480.0,9.8,27.664323867543615
566,Horticulture,41.22,172.4,97603.0,17.0,70.90445545259789
567,Coffee,34.88,193.8,79802.0,6.2,76.15013857510856
568,Maize,3.89,10.9,122368.0,15.1,37.890981490892884
569,Horticulture,2.57,18.5,30058.0,5.2,40.53760520798315
570,Maize,2.11,11.3,44547.0,6.2,39.378572735312574
571,Maize,0.61,7.0,80292.0,13.2,41.28083584670233
572,Horticulture,4.16,15.2,42062.0,6.3,28.528591130711135
573,Maize,18.02,16.8,5446.0,13.8,68.56442100493099
574,Maize,12.81,34.3,32224.0,14.1,
575,Maize,36.49,36.4,27558.0,17.9,69.3434167093857
576,Coffee,1.19,3.4,21601.0,0.5,
577,Horticulture,4.48,6.1,98259.0,5.0,62.7462292024048
578,Dairy,4.08,7.7,115861.0,2.2,56.97212254943719
579,Dairy,31.31,195.1,101129.0,33.1,70.91245777811501
580,Horticulture,4.18,15.8,68885.0,2.7,47.64223746010808
581,Tea,49.96,199.5,76448.0,18.1,42.87243381961804
582,Coffee,20.93,37.8,28386.0,6.6,54.78889735170716
583,Horticulture,19.86,25.8,20984.0,7.5,40.3336253022699
584,Coffee,2.17,14.1,134519.0,2.6,71.3846875085093
585,Tea,43.64,142.9,90867.0,10.0,64.88253415153248
586,Tea,0.75,2.2,20868.0,15.1,76.60716653271002
587,Maize,15.42,11.7,17015.0,6.1,45.66383532672022
588,Dairy,1.24,3.9,14805.0,11.5,47.967189446863415
589,Tea,1.75,8.8,32888.0,2.6,48.96548656376295
590,Tea,6.26,9.8,54408.0,6.6,53.698769733941205
591,Tea,2.12,12.5,55440.0,5.7,39.355404605811124
592,Dairy,2.18,6.4,49552.0,3.9,49.996367206829575
593,Dairy,23.77,38.7,21423.0,10.2,
594,Maize,3.93,6.9,36478.0,9.4,43.134790590679025
595,Maize,7.03,8.1,146724.0,10.1,100.0
596,Tea,3.18,5.9,110990.0,10.2,51.61655067308615
597,Horticulture,6.35,19.0,66901.0,1.4,67.87219784814198
598,Maize,0.5,0.3,11325.0,3.2,53.302196463665645
599,Horticulture,1.03,18.7,26397.0,4.3,
600,Maize,1.79,0.3,18964.0,10.9,14.923421508098379
601,Coffee,1.7,3.8,24901.0,13.5,54.39087000845431
602,Coffee,2.57,12.2,92276.0,9.5,18.369396537779508
603,Maize,3.46,10.6,41274.0,5.7,
604,Horticulture,0.96,3.3,13309.0,8.0,45.105056687362634
605,Dairy,41.45,171.5,77503.0,12.9,74.59945151112782
606,Tea,2.04,3.4,18559.0,9.2,83.53843650893579
607,Coffee,0.94,7.9,58314.0,5.9,44.183269928901645
608,Coffee,13.6,34.9,12038.0,13.1,89.90260921775547
609,Horticulture,31.82,133.5,64537.0,7.6,55.49136772550729
610,Maize,42.83,150.0,122338.0,14.4,47.75515299524393
611,Horticulture,3.99,18.2,46096.0,5.8,22.4279812296338
612,Tea,6.27,12.6,45095.0,7.3,48.22679932862405
613,Tea,42.46,129.6,86954.0,30.1,55.92776592131516
614,Coffee,5.96,9.1,70920.0,12.8,29.8763410495026
615,Maize,23.88,32.3,13916.0,16.1,39.24680573779162
616,Coffee,22.28,23.5,34078.0,3.3,
617,Tea,2.74,12.1,52223.0,9.6,55.88341602414253
618,Maize,2.12,20.5,53265.0,7.5,2.0698887623728766
619,Maize,1.05,1.5,13127.0,16.8,26.898362067744518
620,Tea,32.03,39.5,36822.0,12.1,54.83687095554674
621,Dairy,4.18,8.6,45281.0,8.4,20.050645308858456
622,Horticulture,1.61,3.9,18797.0,7.2,47.25738186131284
623,Maize,39.14,136.4,101938.0,18.8,
624,Horticulture,27.79,127.4,75512.0,19.1,78.3890709045808
625,Dairy,5.37,10.6,152996.0,14.5,7.98124992572
626,Tea,3.84,2.8,212126.0,6.7,32.574117723779935
627,Horticulture,3.41,6.1,30314.0,11.7,37.24805995682065
628,Dairy,1.69,3.1,15583.0,0.5,12.530933563315692
629,Maize,47.27,153.7,81601.0,15.6,68.14335809278523
630,Coffee,21.33,32.3,27381.0,9.9,48.016874331633424
631,Maize,3.35,2.8,44724.0,2.5,48.42225259752826
632,Maize,3.05,0.1,27961.0,4.4,80.52576551357515
633,Maize,6.9,37.0,17286.0,8.1,56.368481954521954
634,Dairy,3.89,3.9,143480.0,6.6,78.66063938203398
635,Dairy,3.4,12.0,58172.0,7.9,69.01555232028025
636,Coffee,3.61,8.3,109283.0,3.6,35.89990194084665
637,Coffee,4.11,8.0,54214.0,6.4,55.435782892949476
638,Maize,4.23,9.4,23486.0,5.5,64.26679775477001
639,Maize,16.28,27.4,13220.0,19.0,58.14514781204469
640,Maize,1.12,2.8,4853.0,9.6,13.053019495496535
641,Horticulture,21.06,40.1,22390.0,13.5,93.00591630064655
642,Tea,1.43,3.3,34735.0,10.6,24.936460688220585
643,Tea,1.47,1.5,23293.0,29.2,100.0
644,Maize,3.39,10.4,85879.0,6.5,52.65853008342445
645,Tea,6.68,8.0,53049.0,6.0,64.77076697659334
646,Coffee,26.64,35.2,27427.0,7.3,93.92654705422584
647,Tea,1.7,1.1,14760.0,14.0,82.2317904682418
648,Horticulture,1.56,2.9,31506.0,11.4,39.7020506179573
649,Coffee,64.17,134.8,58983.0,17.5,67.08702462441505
650,Horticulture,1.33,15.2,60912.0,7.0,0.0
651,Dairy,4.28,17.7,37779.0,6.5,73.85475665349922
652,Dairy,3.09,1.0,50137.0,7.3,46.790781005188514
653,Maize,1.15,0.4,21307.0,18.0,74.71993621063541
654,Tea,3.04,8.9,99240.0,5.3,7.820031011138177
655,Maize,1.81,1.5,29200.0,20.4,69.72192081449967
656,Horticulture,1.97,3.7,8618.0,16.9,91.73424812556952
657,Maize,18.32,27.7,39121.0,8.9,55.99586235107737
658,Coffee,3.48,8.1,138029.0,8.7,85.27247117759359
659,Tea,0.47,1.3,24285.0,14.9,99.9126311003674
660,Maize,1.15,4.5,14105.0,12.8,24.11199746812363
661,Tea,0.2,3.8,20172.0,16.3,48.61311518797573
662,Tea,5.65,18.5,37592.0,4.1,51.65589117400365
663,Dairy,4.35,9.3,127308.0,0.5,26.250179508927587
664,Maize,30.84,44.0,27440.0,2.3,49.44377822079096
665,Maize,13.65,29.0,19467.0,14.6,37.41946928235876
666,Coffee,0.56,3.8,7647.0,7.8,24.21528919143421
667,Maize,2.44,10.8,41197.0,8.5,72.66834886932757
668,Maize,38.18,222.4,92522.0,12.0,25.776640987771003
669,Coffee,1.02,5.6,20858.0,8.5,15.765300505457482
670,Dairy,3.79,8.8,41030.0,4.6,40.54312029484439
671,Dairy,0.2,6.4,15231.0,14.8,80.00685306396082
672,Maize,0.85,2.4,5654.0,0.5,53.940564229337156
673,Dairy,1.35,11.7,38159.0,8.0,74.70513511968988
674,Tea,1.65,5.7,14190.0,14.0,46.89616132289166
675,Dairy,5.83,5.1,50084.0,7.6,30.198208497074415
676,Coffee,3.3,10.5,50352.0,5.6,42.64453828006242
677,Coffee,0.88,1.6,12717.0,13.5,100.0
678,Tea,5.24,9.5,117935.0,8.2,22.3282089400606
679,Coffee,3.22,15.2,56133.0,2.4,83.82634393612273
680,Tea,6.3,10.6,150688.0,4.8,79.09739435688988
